Ide,E,v,t
967,210000,0.3,1
968,210000,0.3,1
969,210000,0.3,1
970,210000,0.3,1
971,210000,0.3,1
972,210000,0.3,1
973,210000,0.3,1
974,210000,0.3,1
975,210000,0.3,1
976,210000,0.3,1
977,210000,0.3,1
978,210000,0.3,1
979,210000,0.3,1
980,210000,0.3,1
981,210000,0.3,1
982,210000,0.3,1
983,210000,0.3,1
984,210000,0.3,1
985,210000,0.3,1
986,210000,0.3,1
987,210000,0.3,1
988,210000,0.3,1
989,210000,0.3,1
990,210000,0.3,1
991,210000,0.3,1
992,210000,0.3,1
993,210000,0.3,1
994,210000,0.3,1
995,210000,0.3,1
996,210000,0.3,1
997,210000,0.3,1
998,210000,0.3,1
999,210000,0.3,1
1000,210000,0.3,1
1001,210000,0.3,1
1002,210000,0.3,1
1003,210000,0.3,1
1004,210000,0.3,1
1005,210000,0.3,1
1006,210000,0.3,1
1007,210000,0.3,1
1008,210000,0.3,1
1009,210000,0.3,1
1010,210000,0.3,1
1011,210000,0.3,1
1012,210000,0.3,1
1013,210000,0.3,1
1014,210000,0.3,1
1015,210000,0.3,1
1016,210000,0.3,1
1017,210000,0.3,1
1018,210000,0.3,1
1019,210000,0.3,1
1020,210000,0.3,1
1021,210000,0.3,1
1022,210000,0.3,1
1023,210000,0.3,1
1024,210000,0.3,1
1025,210000,0.3,1
1026,210000,0.3,1
1027,210000,0.3,1
1028,210000,0.3,1
1029,210000,0.3,1
1030,210000,0.3,1
1031,210000,0.3,1
1032,210000,0.3,1
1033,210000,0.3,1
1034,210000,0.3,1
1035,210000,0.3,1
1036,210000,0.3,1
1037,210000,0.3,1
1038,210000,0.3,1
1039,210000,0.3,1
1040,210000,0.3,1
1041,210000,0.3,1
1042,210000,0.3,1
1043,210000,0.3,1
1044,210000,0.3,1
1045,210000,0.3,1
1046,210000,0.3,1
1047,210000,0.3,1
1048,210000,0.3,1
1049,210000,0.3,1
1050,210000,0.3,1
1051,210000,0.3,1
1052,210000,0.3,1
1053,210000,0.3,1
1054,210000,0.3,1
1055,210000,0.3,1
1056,210000,0.3,1
1057,210000,0.3,1
1058,210000,0.3,1
1059,210000,0.3,1
1060,210000,0.3,1
1061,210000,0.3,1
1062,210000,0.3,1
1063,210000,0.3,1
1064,210000,0.3,1
1065,210000,0.3,1
1066,210000,0.3,1
1067,210000,0.3,1
1068,210000,0.3,1
1069,210000,0.3,1
1070,210000,0.3,1
1071,210000,0.3,1
1072,210000,0.3,1
1073,210000,0.3,1
1074,210000,0.3,1
1075,210000,0.3,1
1076,210000,0.3,1
1077,210000,0.3,1
1078,210000,0.3,1
1079,210000,0.3,1
1080,210000,0.3,1
1081,210000,0.3,1
1082,210000,0.3,1
1083,210000,0.3,1
1084,210000,0.3,1
1085,210000,0.3,1
1086,210000,0.3,1
1087,210000,0.3,1
1088,210000,0.3,1
1089,210000,0.3,1
1090,210000,0.3,1
1091,210000,0.3,1
1092,210000,0.3,1
1093,210000,0.3,1
1094,210000,0.3,1
1095,210000,0.3,1
1096,210000,0.3,1
1097,210000,0.3,1
1098,210000,0.3,1
1099,210000,0.3,1
1100,210000,0.3,1
1101,210000,0.3,1
1102,210000,0.3,1
1103,210000,0.3,1
1104,210000,0.3,1
1105,210000,0.3,1
1106,210000,0.3,1
1107,210000,0.3,1
1108,210000,0.3,1
1109,210000,0.3,1
1110,210000,0.3,1
1111,210000,0.3,1
1112,210000,0.3,1
1113,210000,0.3,1
1114,210000,0.3,1
1115,210000,0.3,1
1116,210000,0.3,1
1117,210000,0.3,1
1118,210000,0.3,1
1119,210000,0.3,1
1120,210000,0.3,1
1121,210000,0.3,1
1122,210000,0.3,1
1123,210000,0.3,1
1124,210000,0.3,1
1125,210000,0.3,1
1126,210000,0.3,1
1127,210000,0.3,1
1128,210000,0.3,1
1129,210000,0.3,1
1130,210000,0.3,1
1131,210000,0.3,1
1132,210000,0.3,1
1133,210000,0.3,1
1134,210000,0.3,1
1135,210000,0.3,1
1136,210000,0.3,1
1137,210000,0.3,1
1138,210000,0.3,1
1139,210000,0.3,1
1140,210000,0.3,1
1141,210000,0.3,1
1142,210000,0.3,1
1143,210000,0.3,1
1144,210000,0.3,1
1145,210000,0.3,1
1146,210000,0.3,1
1147,210000,0.3,1
1148,210000,0.3,1
1149,210000,0.3,1
1150,210000,0.3,1
1151,210000,0.3,1
1152,210000,0.3,1
1153,210000,0.3,1
1154,210000,0.3,1
1155,210000,0.3,1
