ID,x0,x1,u0,u1
727,42.5,75,0,1
728,42.5,77.5,0,1
729,42.5,80,0,1
730,42.5,82.5,0,1
731,42.5,85,0,1
732,42.5,87.5,0,1
733,42.5,90,0,1
734,42.5,92.5,0,1
735,42.5,95,0,1
736,42.5,97.5,0,1
737,42.5,100,0,1
738,45,0,0,1
739,45,2.5,0,1
740,45,5,0,1
741,45,7.5,0,1
742,45,10,0,1
743,45,12.5,0,1
744,45,15,0,1
745,45,17.5,0,1
746,45,20,0,1
747,45,22.5,0,1
748,45,25,0,1
749,45,27.5,0,1
750,45,30,0,1
751,45,32.5,0,1
752,45,35,0,1
753,45,37.5,0,1
754,45,40,0,1
755,45,42.5,0,1
756,45,45,0,1
757,45,47.5,0,1
758,45,50,0,1
759,45,52.5,0,1
760,45,55,0,1
761,45,57.5,0,1
762,45,60,0,1
763,45,62.5,0,1
764,45,65,0,1
765,45,67.5,0,1
766,45,70,0,1
767,45,72.5,0,1
768,45,75,0,1
769,45,77.5,0,1
770,45,80,0,1
771,45,82.5,0,1
772,45,85,0,1
773,45,87.5,0,1
774,45,90,0,1
775,45,92.5,0,1
776,45,95,0,1
777,45,97.5,0,1
778,45,100,0,1
779,47.5,0,0,1
780,47.5,2.5,0,1
781,47.5,5,0,1
782,47.5,7.5,0,1
783,47.5,10,0,1
784,47.5,12.5,0,1
785,47.5,15,0,1
786,47.5,17.5,0,1
787,47.5,20,0,1
788,47.5,22.5,0,1
789,47.5,25,0,1
790,47.5,27.5,0,1
791,47.5,30,0,1
792,47.5,32.5,0,1
793,47.5,35,0,1
794,47.5,37.5,0,1
795,47.5,40,0,1
796,47.5,42.5,0,1
797,47.5,45,0,1
798,47.5,47.5,0,1
799,47.5,50,0,1
800,47.5,52.5,0,1
801,47.5,55,0,1
802,47.5,57.5,0,1
803,47.5,60,0,1
804,47.5,62.5,0,1
805,47.5,65,0,1
806,47.5,67.5,0,1
807,47.5,70,0,1
808,47.5,72.5,0,1
809,47.5,75,0,1
810,47.5,77.5,0,1
811,47.5,80,0,1
812,47.5,82.5,0,1
813,47.5,85,0,1
814,47.5,87.5,0,1
815,47.5,90,0,1
816,47.5,92.5,0,1
817,47.5,95,0,1
818,47.5,97.5,0,1
819,47.5,100,0,1
820,50,0,0,1
821,50,2.5,0,1
822,50,5,0,1
823,50,7.5,0,1
824,50,10,0,1
825,50,12.5,0,1
826,50,15,0,1
827,50,17.5,0,1
828,50,20,0,1
829,50,22.5,0,1
830,50,25,0,1
831,50,27.5,0,1
832,50,30,0,1
833,50,32.5,0,1
834,50,35,0,1
835,50,37.5,0,1
836,50,40,0,1
837,50,42.5,0,1
838,50,45,0,1
839,50,47.5,0,1
840,50,50,0,1
841,50,52.5,0,1
842,50,55,0,1
843,50,57.5,0,1
844,50,60,0,1
845,50,62.5,0,1
846,50,65,0,1
847,50,67.5,0,1
848,50,70,0,1
849,50,72.5,0,1
850,50,75,0,1
851,50,77.5,0,1
852,50,80,0,1
853,50,82.5,0,1
854,50,85,0,1
855,50,87.5,0,1
856,50,90,0,1
857,50,92.5,0,1
858,50,95,0,1
859,50,97.5,0,1
860,50,100,0,1
861,52.5,0,0,1
862,52.5,2.5,0,1
863,52.5,5,0,1
864,52.5,7.5,0,1
865,52.5,10,0,1
866,52.5,12.5,0,1
867,52.5,15,0,1
868,52.5,17.5,0,1
869,52.5,20,0,1
870,52.5,22.5,0,1
871,52.5,25,0,1
872,52.5,27.5,0,1
873,52.5,30,0,1
874,52.5,32.5,0,1
875,52.5,35,0,1
876,52.5,37.5,0,1
877,52.5,40,0,1
878,52.5,42.5,0,1
879,52.5,45,0,1
880,52.5,47.5,0,1
881,52.5,50,0,1
882,52.5,52.5,0,1
883,52.5,55,0,1
884,52.5,57.5,0,1
885,52.5,60,0,1
886,52.5,62.5,0,1
887,52.5,65,0,1
888,52.5,67.5,0,1
889,52.5,70,0,1
890,52.5,72.5,0,1
891,52.5,75,0,1
892,52.5,77.5,0,1
893,52.5,80,0,1
894,52.5,82.5,0,1
895,52.5,85,0,1
896,52.5,87.5,0,1
897,52.5,90,0,1
898,52.5,92.5,0,1
899,52.5,95,0,1
900,52.5,97.5,0,1
901,52.5,100,0,1
902,55,0,0,1
903,55,2.5,0,1
904,55,5,0,1
905,55,7.5,0,1
906,55,10,0,1
907,55,12.5,0,1
908,55,15,0,1
909,55,17.5,0,1
910,55,20,0,1
911,55,22.5,0,1
912,55,25,0,1
913,55,27.5,0,1
914,55,30,0,1
915,55,32.5,0,1
916,55,35,0,1
917,55,37.5,0,1
918,55,40,0,1
919,55,42.5,0,1
920,55,45,0,1
921,55,47.5,0,1
922,55,50,0,1
923,55,52.5,0,1
924,55,55,0,1
925,55,57.5,0,1
926,55,60,0,1
927,55,62.5,0,1
928,55,65,0,1
929,55,67.5,0,1
930,55,70,0,1
931,55,72.5,0,1
932,55,75,0,1
933,55,77.5,0,1
934,55,80,0,1
935,55,82.5,0,1
936,55,85,0,1
937,55,87.5,0,1
938,55,90,0,1
939,55,92.5,0,1
940,55,95,0,1
941,55,97.5,0,1
942,55,100,0,1
943,57.5,0,0,1
944,57.5,2.5,0,1
945,57.5,5,0,1
946,57.5,7.5,0,1
947,57.5,10,0,1
948,57.5,12.5,0,1
949,57.5,15,0,1
950,57.5,17.5,0,1
951,57.5,20,0,1
952,57.5,22.5,0,1
953,57.5,25,0,1
954,57.5,27.5,0,1
955,57.5,30,0,1
956,57.5,32.5,0,1
957,57.5,35,0,1
958,57.5,37.5,0,1
959,57.5,40,0,1
960,57.5,42.5,0,1
961,57.5,45,0,1
962,57.5,47.5,0,1
963,57.5,50,0,1
964,57.5,52.5,0,1
965,57.5,55,0,1
966,57.5,57.5,0,1
967,57.5,60,0,1
968,57.5,62.5,0,1
969,57.5,65,0,1
970,57.5,67.5,0,1
971,57.5,70,0,1
972,57.5,72.5,0,1
973,57.5,75,0,1
974,57.5,77.5,0,1
975,57.5,80,0,1
976,57.5,82.5,0,1
977,57.5,85,0,1
978,57.5,87.5,0,1
979,57.5,90,0,1
980,57.5,92.5,0,1
981,57.5,95,0,1
982,57.5,97.5,0,1
983,57.5,100,0,1
984,60,0,0,1
985,60,2.5,0,1
986,60,5,0,1
987,60,7.5,0,1
988,60,10,0,1
989,60,12.5,0,1
990,60,15,0,1
991,60,17.5,0,1
992,60,20,0,1
993,60,22.5,0,1
994,60,25,0,1
995,60,27.5,0,1
996,60,30,0,1
997,60,32.5,0,1
998,60,35,0,1
999,60,37.5,0,1
1000,60,40,0,1
1001,60,42.5,0,1
1002,60,45,0,1
1003,60,47.5,0,1
1004,60,50,0,1
1005,60,52.5,0,1
1006,60,55,0,1
1007,60,57.5,0,1
1008,60,60,0,1
1009,60,62.5,0,1
1010,60,65,0,1
1011,60,67.5,0,1
1012,60,70,0,1
1013,60,72.5,0,1
1014,60,75,0,1
1015,60,77.5,0,1
1016,60,80,0,1
1017,60,82.5,0,1
1018,60,85,0,1
1019,60,87.5,0,1
1020,60,90,0,1
1021,60,92.5,0,1
1022,60,95,0,1
1023,60,97.5,0,1
1024,60,100,0,1
1025,62.5,0,0,1
1026,62.5,2.5,0,1
1027,62.5,5,0,1
1028,62.5,7.5,0,1
1029,62.5,10,0,1
1030,62.5,12.5,0,1
1031,62.5,15,0,1
1032,62.5,17.5,0,1
1033,62.5,20,0,1
1034,62.5,22.5,0,1
1035,62.5,25,0,1
1036,62.5,27.5,0,1
1037,62.5,30,0,1
1038,62.5,32.5,0,1
1039,62.5,35,0,1
1040,62.5,37.5,0,1
1041,62.5,40,0,1
1042,62.5,42.5,0,1
1043,62.5,45,0,1
1044,62.5,47.5,0,1
1045,62.5,50,0,1
1046,62.5,52.5,0,1
1047,62.5,55,0,1
1048,62.5,57.5,0,1
1049,62.5,60,0,1
1050,62.5,62.5,0,1
1051,62.5,65,0,1
1052,62.5,67.5,0,1
1053,62.5,70,0,1
1054,62.5,72.5,0,1
1055,62.5,75,0,1
1056,62.5,77.5,0,1
1057,62.5,80,0,1
1058,62.5,82.5,0,1
1059,62.5,85,0,1
1060,62.5,87.5,0,1
1061,62.5,90,0,1
1062,62.5,92.5,0,1
1063,62.5,95,0,1
1064,62.5,97.5,0,1
1065,62.5,100,0,1
1066,65,0,0,1
1067,65,2.5,0,1
1068,65,5,0,1
1069,65,7.5,0,1
1070,65,10,0,1
1071,65,12.5,0,1
1072,65,15,0,1
1073,65,17.5,0,1
1074,65,20,0,1
1075,65,22.5,0,1
1076,65,25,0,1
1077,65,27.5,0,1
1078,65,30,0,1
1079,65,32.5,0,1
1080,65,35,0,1
1081,65,37.5,0,1
1082,65,40,0,1
1083,65,42.5,0,1
1084,65,45,0,1
1085,65,47.5,0,1
1086,65,50,0,1
1087,65,52.5,0,1
1088,65,55,0,1
1089,65,57.5,0,1
1090,65,60,0,1
1091,65,62.5,0,1
1092,65,65,0,1
1093,65,67.5,0,1
1094,65,70,0,1
1095,65,72.5,0,1
1096,65,75,0,1
1097,65,77.5,0,1
1098,65,80,0,1
1099,65,82.5,0,1
1100,65,85,0,1
1101,65,87.5,0,1
1102,65,90,0,1
1103,65,92.5,0,1
1104,65,95,0,1
1105,65,97.5,0,1
1106,65,100,0,1
1107,67.5,0,0,1
1108,67.5,2.5,0,1
1109,67.5,5,0,1
1110,67.5,7.5,0,1
1111,67.5,10,0,1
1112,67.5,12.5,0,1
1113,67.5,15,0,1
1114,67.5,17.5,0,1
1115,67.5,20,0,1
1116,67.5,22.5,0,1
1117,67.5,25,0,1
1118,67.5,27.5,0,1
1119,67.5,30,0,1
1120,67.5,32.5,0,1
1121,67.5,35,0,1
1122,67.5,37.5,0,1
1123,67.5,40,0,1
1124,67.5,42.5,0,1
1125,67.5,45,0,1
1126,67.5,47.5,0,1
1127,67.5,50,0,1
1128,67.5,52.5,0,1
1129,67.5,55,0,1
1130,67.5,57.5,0,1
1131,67.5,60,0,1
1132,67.5,62.5,0,1
1133,67.5,65,0,1
1134,67.5,67.5,0,1
1135,67.5,70,0,1
1136,67.5,72.5,0,1
1137,67.5,75,0,1
1138,67.5,77.5,0,1
1139,67.5,80,0,1
1140,67.5,82.5,0,1
1141,67.5,85,0,1
1142,67.5,87.5,0,1
1143,67.5,90,0,1
1144,67.5,92.5,0,1
1145,67.5,95,0,1
1146,67.5,97.5,0,1
1147,67.5,100,0,1
1148,70,0,0,1
1149,70,2.5,0,1
1150,70,5,0,1
