id,idn,u0,u1,u2
756,44233,0,0,0
757,44234,0,0,0
758,45126,0,0,0
759,45129,0,0,0
760,45163,0,0,0
761,45164,0,0,0
762,45165,0,0,0
763,45166,0,0,0
764,45193,0,0,0
765,45194,0,0,0
766,45195,0,0,0
767,45196,0,0,0
768,45329,0,0,0
769,45330,0,0,0
770,45331,0,0,0
771,45746,0,0,0
772,45747,0,0,0
773,45748,0,0,0
774,46323,0,0,0
775,46324,0,0,0
776,46325,0,0,0
777,46326,0,0,0
778,46342,0,0,0
779,46343,0,0,0
780,47945,0,0,0
781,47946,0,0,0
782,47947,0,0,0
783,47999,0,0,0
784,48000,0,0,0
785,48004,0,0,0
786,48005,0,0,0
787,48006,0,0,0
788,48764,0,0,0
789,48765,0,0,0
790,48766,0,0,0
791,49861,0,0,0
792,49862,0,0,0
793,49863,0,0,0
794,50031,0,0,0
795,50032,0,0,0
796,50033,0,0,0
797,50034,0,0,0
798,50035,0,0,0
799,50056,0,0,0
800,50057,0,0,0
801,50058,0,0,0
802,50059,0,0,0
803,50064,0,0,0
804,50065,0,0,0
805,50066,0,0,0
806,50067,0,0,0
807,50081,0,0,0
808,50082,0,0,0
809,50083,0,0,0
810,50084,0,0,0
811,50107,0,0,0
812,50108,0,0,0
813,50109,0,0,0
814,50121,0,0,0
815,50122,0,0,0
816,50123,0,0,0
817,50124,0,0,0
818,50392,0,0,0
819,50393,0,0,0
820,50394,0,0,0
821,50395,0,0,0
822,52164,0,0,0
823,52165,0,0,0
824,52166,0,0,0
825,52167,0,0,0
826,52168,0,0,0
827,52169,0,0,0
828,52170,0,0,0
829,52403,0,0,0
830,52404,0,0,0
831,52405,0,0,0
832,52406,0,0,0
833,52407,0,0,0
834,52444,0,0,0
835,52445,0,0,0
836,52446,0,0,0
837,52447,0,0,0
838,52511,0,0,0
839,52512,0,0,0
840,52513,0,0,0
841,52514,0,0,0
842,52515,0,0,0
843,52549,0,0,0
844,52550,0,0,0
845,52551,0,0,0
846,52552,0,0,0
847,53482,0,0,0
848,53927,0,0,0
849,53928,0,0,0
850,53929,0,0,0
851,54005,0,0,0
852,54006,0,0,0
853,54007,0,0,0
854,54008,0,0,0
855,54110,0,0,0
856,54111,0,0,0
857,54112,0,0,0
858,54113,0,0,0
859,54114,0,0,0
860,54304,0,0,0
861,54676,0,0,0
862,54677,0,0,0
863,54678,0,0,0
864,54679,0,0,0
865,56303,0,0,0
866,56304,0,0,0
867,56305,0,0,0
868,56306,0,0,0
869,56566,0,0,0
870,56567,0,0,0
871,56568,0,0,0
872,56569,0,0,0
