id,idn,q0,q1,q2
200,3836,0.000146649,0.000146649,0.000146649
201,3837,0.000146649,0.000146649,0.000146649
202,3838,0.000146649,0.000146649,0.000146649
203,3839,0.000146649,0.000146649,0.000146649
204,3840,0.000146649,0.000146649,0.000146649
205,3841,0.000146649,0.000146649,0.000146649
206,3842,0.000146649,0.000146649,0.000146649
207,3843,0.000146649,0.000146649,0.000146649
208,3844,0.000146649,0.000146649,0.000146649
209,3845,0.000146649,0.000146649,0.000146649
210,3846,0.000146649,0.000146649,0.000146649
211,3847,0.000146649,0.000146649,0.000146649
212,3848,0.000146649,0.000146649,0.000146649
213,3849,0.000146649,0.000146649,0.000146649
214,3850,0.000146649,0.000146649,0.000146649
215,3851,0.000146649,0.000146649,0.000146649
216,3852,0.000146649,0.000146649,0.000146649
217,3853,0.000146649,0.000146649,0.000146649
218,3854,0.000146649,0.000146649,0.000146649
219,3855,0.000146649,0.000146649,0.000146649
220,3856,0.000146649,0.000146649,0.000146649
221,3857,0.000146649,0.000146649,0.000146649
222,3858,0.000146649,0.000146649,0.000146649
223,3859,0.000146649,0.000146649,0.000146649
224,3860,0.000146649,0.000146649,0.000146649
225,3861,0.000146649,0.000146649,0.000146649
226,3862,0.000146649,0.000146649,0.000146649
227,3863,0.000146649,0.000146649,0.000146649
228,3864,0.000146649,0.000146649,0.000146649
229,3865,0.000146649,0.000146649,0.000146649
230,3866,0.000146649,0.000146649,0.000146649
231,3867,0.000146649,0.000146649,0.000146649
232,3868,0.000146649,0.000146649,0.000146649
233,3869,0.000146649,0.000146649,0.000146649
234,3870,0.000146649,0.000146649,0.000146649
235,3871,0.000146649,0.000146649,0.000146649
