id,ide,E,ƒË,t,rho
617,617,210000,0,0.01,7.80E-06
618,618,210000,0,0.01,7.80E-06
619,619,210000,0,0.01,7.80E-06
620,620,210000,0,0.01,7.80E-06
621,621,210000,0,0.01,7.80E-06
622,622,210000,0,0.01,7.80E-06
623,623,210000,0,0.01,7.80E-06
624,624,210000,0,0.01,7.80E-06
625,625,210000,0,0.01,7.80E-06
626,626,210000,0,0.01,7.80E-06
627,627,210000,0,0.01,7.80E-06
628,628,210000,0,0.01,7.80E-06
629,629,210000,0,0.01,7.80E-06
630,630,210000,0,0.01,7.80E-06
631,631,210000,0,0.01,7.80E-06
632,632,210000,0,0.01,7.80E-06
633,633,210000,0,0.01,7.80E-06
634,634,210000,0,0.01,7.80E-06
635,635,210000,0,0.01,7.80E-06
636,636,210000,0,0.01,7.80E-06
637,637,210000,0,0.01,7.80E-06
638,638,210000,0,0.01,7.80E-06
639,639,210000,0,0.01,7.80E-06
640,640,210000,0,0.01,7.80E-06
641,641,210000,0,0.01,7.80E-06
642,642,210000,0,0.01,7.80E-06
643,643,210000,0,0.01,7.80E-06
644,644,210000,0,0.01,7.80E-06
645,645,210000,0,0.01,7.80E-06
646,646,210000,0,0.01,7.80E-06
647,647,210000,0,0.01,7.80E-06
648,648,210000,0,0.01,7.80E-06
649,649,210000,0,0.01,7.80E-06
650,650,210000,0,0.01,7.80E-06
651,651,210000,0,0.01,7.80E-06
652,652,210000,0,0.01,7.80E-06
653,653,210000,0,0.01,7.80E-06
654,654,210000,0,0.01,7.80E-06
655,655,210000,0,0.01,7.80E-06
656,656,210000,0,0.01,7.80E-06
657,657,210000,0,0.01,7.80E-06
658,658,210000,0,0.01,7.80E-06
659,659,210000,0,0.01,7.80E-06
660,660,210000,0,0.01,7.80E-06
661,661,210000,0,0.01,7.80E-06
662,662,210000,0,0.01,7.80E-06
663,663,210000,0,0.01,7.80E-06
664,664,210000,0,0.01,7.80E-06
665,665,210000,0,0.01,7.80E-06
666,666,210000,0,0.01,7.80E-06
667,667,210000,0,0.01,7.80E-06
668,668,210000,0,0.01,7.80E-06
669,669,210000,0,0.01,7.80E-06
670,670,210000,0,0.01,7.80E-06
671,671,210000,0,0.01,7.80E-06
672,672,210000,0,0.01,7.80E-06
673,673,210000,0,0.01,7.80E-06
674,674,210000,0,0.01,7.80E-06
675,675,210000,0,0.01,7.80E-06
676,676,210000,0,0.01,7.80E-06
677,677,210000,0,0.01,7.80E-06
678,678,210000,0,0.01,7.80E-06
679,679,210000,0,0.01,7.80E-06
680,680,210000,0,0.01,7.80E-06
681,681,210000,0,0.01,7.80E-06
682,682,210000,0,0.01,7.80E-06
683,683,210000,0,0.01,7.80E-06
684,684,210000,0,0.01,7.80E-06
685,685,210000,0,0.01,7.80E-06
686,686,210000,0,0.01,7.80E-06
687,687,210000,0,0.01,7.80E-06
688,688,210000,0,0.01,7.80E-06
689,689,210000,0,0.01,7.80E-06
690,690,210000,0,0.01,7.80E-06
691,691,210000,0,0.01,7.80E-06
692,692,210000,0,0.01,7.80E-06
693,693,210000,0,0.01,7.80E-06
694,694,210000,0,0.01,7.80E-06
695,695,210000,0,0.01,7.80E-06
