id,s,dmax,dmin,L,E,ƒÏ
330,0.7,0.4,0.0001,2.5,210000,1.77
331,0.7,0.4,0.0001,2.5,210000,1.77
332,0.7,0.4,0.0001,2.5,210000,1.77
333,0.7,0.4,0.0001,2.5,210000,1.77
334,0.7,0.4,0.0001,2.5,210000,1.77
335,0.7,0.4,0.0001,2.5,210000,1.77
336,0.7,0.4,0.0001,2.5,210000,1.77
337,0.7,0.4,0.0001,2.5,210000,1.77
338,0.7,0.4,0.0001,2.5,210000,1.77
339,0.7,0.4,0.0001,2.5,210000,1.77
340,0.7,0.4,0.0001,2.5,210000,1.77
341,0.7,0.4,0.0001,2.5,210000,1.77
342,0.7,0.4,0.0001,2.5,210000,1.77
343,0.7,0.4,0.0001,2.5,210000,1.77
344,0.7,0.4,0.0001,2.5,210000,1.77
345,0.7,0.4,0.0001,2.5,210000,1.77
346,0.7,0.4,0.0001,2.5,210000,1.77
347,0.7,0.4,0.0001,2.5,210000,1.77
348,0.7,0.4,0.0001,2.5,210000,1.77
349,0.7,0.4,0.0001,2.5,210000,1.77
350,0.7,0.4,0.0001,2.5,210000,1.77
351,0.7,0.4,0.0001,2.5,210000,1.77
352,0.7,0.4,0.0001,2.5,210000,1.77
353,0.7,0.4,0.0001,2.5,210000,1.77
354,0.7,0.4,0.0001,2.5,210000,1.77
355,0.7,0.4,0.0001,2.5,210000,1.77
356,0.7,0.4,0.0001,2.5,210000,1.77
357,0.7,0.4,0.0001,2.5,210000,1.77
358,0.7,0.4,0.0001,2.5,210000,1.77
359,0.7,0.4,0.0001,2.5,210000,1.77
360,0.7,0.4,0.0001,2.5,210000,1.77
361,0.7,0.4,0.0001,2.5,210000,1.77
362,0.7,0.4,0.0001,2.5,210000,1.77
363,0.7,0.4,0.0001,2.5,210000,1.77
364,0.7,0.4,0.0001,2.5,210000,1.77
365,0.7,0.4,0.0001,2.5,210000,1.77
366,0.7,0.4,0.0001,2.5,210000,1.77
367,0.7,0.4,0.0001,2.5,210000,1.77
368,0.7,0.4,0.0001,2.5,210000,1.77
369,0.7,0.4,0.0001,2.5,210000,1.77
370,0.7,0.4,0.0001,2.5,210000,1.77
371,0.7,0.4,0.0001,2.5,210000,1.77
372,0.7,0.4,0.0001,2.5,210000,1.77
373,0.7,0.4,0.0001,2.5,210000,1.77
374,0.7,0.4,0.0001,2.5,210000,1.77
375,0.7,0.4,0.0001,2.5,210000,1.77
376,0.7,0.4,0.0001,2.5,210000,1.77
377,0.7,0.4,0.0001,2.5,210000,1.77
378,0.7,0.4,0.0001,2.5,210000,1.77
379,0.7,0.4,0.0001,2.5,210000,1.77
380,0.7,0.4,0.0001,2.5,210000,1.77
381,0.7,0.4,0.0001,2.5,210000,1.77
382,0.7,0.4,0.0001,2.5,210000,1.77
383,0.7,0.4,0.0001,2.5,210000,1.77
384,0.7,0.4,0.0001,2.5,210000,1.77
385,0.7,0.4,0.0001,2.5,210000,1.77
386,0.7,0.4,0.0001,2.5,210000,1.77
387,0.7,0.4,0.0001,2.5,210000,1.77
388,0.7,0.4,0.0001,2.5,210000,1.77
389,0.7,0.4,0.0001,2.5,210000,1.77
390,0.7,0.4,0.0001,2.5,210000,1.77
391,0.7,0.4,0.0001,2.5,210000,1.77
392,0.7,0.4,0.0001,2.5,210000,1.77
393,0.7,0.4,0.0001,2.5,210000,1.77
394,0.7,0.4,0.0001,2.5,210000,1.77
395,0.7,0.4,0.0001,2.5,210000,1.77
396,0.7,0.4,0.0001,2.5,210000,1.77
397,0.7,0.4,0.0001,2.5,210000,1.77
398,0.7,0.4,0.0001,2.5,210000,1.77
399,0.7,0.4,0.0001,2.5,210000,1.77
400,0.7,0.4,0.0001,2.5,210000,1.77
401,0.7,0.4,0.0001,2.5,210000,1.77
402,0.7,0.4,0.0001,2.5,210000,1.77
403,0.7,0.4,0.0001,2.5,210000,1.77
404,0.7,0.4,0.0001,2.5,210000,1.77
405,0.7,0.4,0.0001,2.5,210000,1.77
406,0.7,0.4,0.0001,2.5,210000,1.77
407,0.7,0.4,0.0001,2.5,210000,1.77
408,0.7,0.4,0.0001,2.5,210000,1.77
409,0.7,0.4,0.0001,2.5,210000,1.77
410,0.7,0.4,0.0001,2.5,210000,1.77
411,0.7,0.4,0.0001,2.5,210000,1.77
412,0.7,0.4,0.0001,2.5,210000,1.77
413,0.7,0.4,0.0001,2.5,210000,1.77
414,0.7,0.4,0.0001,2.5,210000,1.77
415,0.7,0.4,0.0001,2.5,210000,1.77
416,0.7,0.4,0.0001,2.5,210000,1.77
417,0.7,0.4,0.0001,2.5,210000,1.77
418,0.7,0.4,0.0001,2.5,210000,1.77
419,0.7,0.4,0.0001,2.5,210000,1.77
420,0.7,0.4,0.0001,2.5,210000,1.77
421,0.7,0.4,0.0001,2.5,210000,1.77
422,0.7,0.4,0.0001,2.5,210000,1.77
423,0.7,0.4,0.0001,2.5,210000,1.77
424,0.7,0.4,0.0001,2.5,210000,1.77
425,0.7,0.4,0.0001,2.5,210000,1.77
426,0.7,0.4,0.0001,2.5,210000,1.77
427,0.7,0.4,0.0001,2.5,210000,1.77
428,0.7,0.4,0.0001,2.5,210000,1.77
429,0.7,0.4,0.0001,2.5,210000,1.77
430,0.7,0.4,0.0001,2.5,210000,1.77
431,0.7,0.4,0.0001,2.5,210000,1.77
432,0.7,0.4,0.0001,2.5,210000,1.77
433,0.7,0.4,0.0001,2.5,210000,1.77
434,0.7,0.4,0.0001,2.5,210000,1.77
